Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.55,44.48,BARRIE-ORO,6117700,2022-01-01,2022,1,1,,2,,-7,,-2.6,,20.6,,0,,,,,,0.3,,7,,,,,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-02,2022,1,2,,-7,,-16,,-11.4,,29.4,,0,,,,,,0.6,,6,,35,,31,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-03,2022,1,3,,-8,,-19,,-13.1,,31.1,,0,,,,,,0,,6,,,,,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-04,2022,1,4,,0,,-9,,-4.7,,22.7,,0,,,,,,0,,6,,,,,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-05,2022,1,5,,2,,-6,,-2.2,,20.2,,0,,,,,,1,,6,,25,,48,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-06,2022,1,6,,-6,,-13,,-9,,27,,0,,,,,,0.8,,8,,27,,34,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-07,2022,1,7,,-12,,-19,,-15.6,,33.6,,0,,,,,,0.4,,9,,33,,40,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-08,2022,1,8,,-2,,-24,,-12.6,,30.6,,0,,,,,,0,,13,,16,,41,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-09,2022,1,9,,2,,-10,,-4.1,,22.1,,0,,,,,,2.7,,13,,30,,60,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-10,2022,1,10,,-10,,-25,,-17,,35,,0,,,,,,3.3,,25,,29,,42,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-11,2022,1,11,,-6,,-31,,-18.5,,36.5,,0,,,,,,0.5,,25,,17,,45,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-12,2022,1,12,,-1,,-6,,-3.4,,21.4,,0,,,,,,0,,22,,30,,34,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-13,2022,1,13,,-1,,-6,,-3.3,,21.3,,0,,,,,,0,,21,,,,,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-14,2022,1,14,,-6,,-24,,-14.8,,32.8,,0,,,,,,0.2,,20,,2,,33,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-15,2022,1,15,,-16,,-27,,-21.5,,39.5,,0,,,,,,0,,20,,,,,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-16,2022,1,16,,-7,,-26,,-16.6,,34.6,,0,,,,,,0,,19,,,,,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-17,2022,1,17,,-5,,-8,,-6.7,,24.7,,0,,,,,,13.6,,22,,32,,54,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-18,2022,1,18,,-6,,-17,,-11.5,,29.5,,0,,,,,,1.2,,34,,35,,35,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-19,2022,1,19,,4,,-16,,-6,,24,,0,,,,,,0.4,,34,,31,,58,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-20,2022,1,20,,-16,,-26,,-20.7,,38.7,,0,,,,,,0.2,,32,,35,,33,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-21,2022,1,21,,-14,,-30,,-21.9,,39.9,,0,,,,,,0.2,,31,,,,,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-22,2022,1,22,,-6,,-24,,-15.2,,33.2,,0,,,,,,0.9,,31,,19,,35,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-23,2022,1,23,,-6,,-25,,-15.5,,33.5,,0,,,,,,1.3,,37,,29,,31,
-79.55,44.48,BARRIE-ORO,6117700,2022-01-24,2022,1,24,,-8,,-25,,-16.4,,34.4,,0,,,,,,1,,35,,,,,
