Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-01,2022,1,1,,1,,-10,,-4.2,,22.2,,0,,0,,0,,0,,,,9,,49,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-02,2022,1,2,,5,,1,,2.8,,15.2,,0,,4.9,,3.7,,8.6,,7,,14,,68,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-03,2022,1,3,,5,,2,,3.5,,14.5,,0,,7.6,,0,,7.6,,2,,20,,62,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-04,2022,1,4,,5,,0,,2.6,,15.4,,0,,5.6,,0.4,,7,,0,T,20,,46,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-05,2022,1,5,,1,,-3,,-1.3,,19.3,,0,,0,,0.9,,0.9,,0,T,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-06,2022,1,6,,4,,-4,,0.2,,17.8,,0,,6.8,,12,,16.4,,12,,10,,38,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-07,2022,1,7,,5,,1,,3,,15,,0,,7.6,,0,,7.6,,2,,29,,83,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-08,2022,1,8,,3,,-2,,0.7,,17.3,,0,,3,,0,,3,,,,7,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-09,2022,1,9,,7,,-2,,2.6,,15.4,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-10,2022,1,10,,9,,-1,,3.6,,14.4,,0,,4.6,,0,,4.6,,,,7,,38,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-11,2022,1,11,,10,,7,,8.4,,9.6,,0,,17.7,,0,,17.7,,,,10,,41,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-12,2022,1,12,,12,,9,,10.2,,7.8,,0,,29.3,,0,,29.3,,,,9,,38,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-13,2022,1,13,,11,,4,,7.5,,10.5,,0,,0.2,,0,,0.2,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-14,2022,1,14,,10,,5,,7.5,,10.5,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-15,2022,1,15,,7,,3,,5.2,,12.8,,0,,0.2,,0,,0.2,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-16,2022,1,16,,7,,5,,5.6,,12.4,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-17,2022,1,17,,7,,4,,5.7,,12.3,,0,,1.7,,0,,1.7,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-18,2022,1,18,,7,,6,,6.3,,11.7,,0,,3.1,,0,,3.1,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-19,2022,1,19,,10,,7,,8.1,,9.9,,0,,8,,0,,8,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-20,2022,1,20,,12,,6,,8.9,,9.1,,0,,11,,0,,11,,,,26,,50,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-21,2022,1,21,,8,,2,,4.9,,13.1,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-22,2022,1,22,,7,,1,,4.2,,13.8,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-23,2022,1,23,,4,,0,,2.2,,15.8,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-24,2022,1,24,,4,,2,,3.3,,14.7,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-25,2022,1,25,,3,,1,,2.2,,15.8,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-26,2022,1,26,,3,,1,,2.3,,15.7,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-27,2022,1,27,,5,,0,,2.2,,15.8,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-28,2022,1,28,,8,,-2,,2.9,,15.1,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-29,2022,1,29,,7,,0,,3.4,,14.6,,0,,6.4,,0,,6.4,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-30,2022,1,30,,8,,5,,6.1,,11.9,,0,,14,,0,,14,,,,28,,59,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-01-31,2022,1,31,,7,,4,,5.4,,12.6,,0,,0,,0,,0,,,,28,,54,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-01,2022,2,1,,6,,0,,2.9,,15.1,,0,,0,,0,,0,,,,28,,48,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-02,2022,2,2,,2,,-2,,0.1,,17.9,,0,,0.3,,0,T,0.3,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-03,2022,2,3,,6,,2,,3.9,,14.1,,0,,7.3,,0,T,7.3,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-04,2022,2,4,,9,,4,,6.2,,11.8,,0,,3.3,,0,,3.3,,,,12,,46,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-05,2022,2,5,,8,,4,,5.7,,12.3,,0,,0,,0,,0,,,,24,,52,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-06,2022,2,6,,7,,0,,3.5,,14.5,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-07,2022,2,7,,12,,3,,7.4,,10.6,,0,,0,,0,,0,,,,19,,33,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-08,2022,2,8,,8,,3,,5.5,,12.5,,0,,2.9,,0,,2.9,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-09,2022,2,9,,9,,6,,7.3,,10.7,,0,,0.9,,0,,0.9,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-10,2022,2,10,,7,,3,,5.1,,12.9,,0,,0.2,,0,,0.2,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-11,2022,2,11,,8,,2,,5.1,,12.9,,0,,0,,0,,0,,,,30,,38,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-12,2022,2,12,,7,,0,,3.6,,14.4,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-13,2022,2,13,,10,,-1,,4.4,,13.6,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-14,2022,2,14,,8,,3,,5.9,,12.1,,0,,3.5,,0,,3.5,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-15,2022,2,15,,9,,3,,6.1,,11.9,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-16,2022,2,16,,9,,2,,5.5,,12.5,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-17,2022,2,17,,10,,4,,6.9,,11.1,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-18,2022,2,18,,8,,4,,5.8,,12.2,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-19,2022,2,19,,8,,3,,5.7,,12.3,,0,,3.6,,0,,3.6,,,,14,,35,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-20,2022,2,20,,8,,4,,5.8,,12.2,,0,,0,,0,,0,,,,29,,49,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-21,2022,2,21,,8,,-1,,3.5,,14.5,,0,,0.9,,0,,0.9,,,,11,,41,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-22,2022,2,22,,3,,-3,,-0.2,,18.2,,0,,0,,0,,0,,,,7,,40,
-123.18,49.19,VANCOUVER INTL A,1108395,2022-02-23,2022,2,23,,2,,-7,,-2.7,,20.7,,0,,0,,0,T,0,T,0,T,10,,33,
